cluster,mean_age,female_ratio,size
0,33.2569282255746,0.5494713183928638,39527004
1,34.871559949927736,0.5039654357696123,723754
2,30.550098888548426,0.6177052285578986,35899
3,33.13320251177394,0.7139521193092622,50960
4,13.968725736824124,0.2883008789092829,32199
5,27.340062520085308,0.5384031084752695,34229
6,46.872741759760636,0.41766265021057936,61497
7,38.363160777869076,0.9729389208436044,36510
8,27.044684741989347,0.5687167050966049,50308
9,62.82362391138919,0.3177616188946197,70962
10,38.95757450719283,0.5532569349363242,53317
11,61.264431768811406,0.46872591201491176,71353
12,18.194291944087528,0.47079780399486043,51366
13,44.92445983287279,0.5063088857076272,60074
14,36.045846336751374,0.4541239411502452,67290
15,53.36655476924938,0.4514607149337688,66132
16,23.761746540012595,0.4502471898069374,74639
17,40.71248136937048,0.4436317819332831,65081
18,30.21305801900135,0.7279579374719223,60101
19,28.051388559221458,0.5175498457156421,67408
20,45.553526075177786,0.578056214019641,94496
21,37.07995584929534,0.7900014806638759,74291
22,40.79111018619398,0.5978161074318452,81689
23,27.144274625032892,0.7546596789755284,91208
24,42.58016671302569,0.43147986971619307,111449
25,22.095195788088187,0.5368651968849403,91170
26,44.33977069216993,0.44384542953676864,162489
27,42.17298312883435,0.6107898773006135,130400
28,32.79567563034606,0.4396908369206686,143096
29,34.50459386866722,0.9999629526720385,107970
30,33.585013500097425,0.38195533369828444,107777
31,39.92151200849541,0.43350595697016425,137486
32,48.070684072629085,0.7791837808770866,174806
33,13.809138714315608,0.45131261855419574,148139
34,45.18301485291445,0.5808034902744955,187034
35,41.5203890476961,0.4786868741348004,278115
36,30.215766761845465,0.5519010712982245,232895
37,33.26603586594038,0.4697584582998763,276474
38,36.521420747824145,0.7870353973594633,304938
39,43.96314225429754,0.3041255076889934,157823
40,44.224347008069614,0.344847353490218,68033
41,33.876420915315364,0.6038109655073788,286699
42,48.908723996918155,0.6453001837254786,337460
43,31.044340763780887,0.33777432175565925,289350
44,71.25669611741355,0.581700929988649,301294
45,71.32213049000602,0.5735176148138245,59836
46,25.083831651914835,0.5158625992257165,332953
47,61.26726820625065,0.5128333407781301,335805
48,76.36223193010326,0.4554805401111994,100720
