cluster,mean_age,female_ratio,size,size_alive,mortality_rate
38,57.2981436615342,0.7375596770197811,238157,223453,0.0105212281777376
39,49.219786335808436,0.32456866711010357,73667,73256,0.0009555531287539587
40,50.51611351611351,0.5380792047458715,6237,6142,0.0034190817323347445
41,37.86572012519623,0.6212912589725614,101281,100333,0.0018637935674204898
42,52.16712777167455,0.6667040333609847,223015,216824,0.004289193078257019
43,33.764579525991984,0.40190693980653125,209026,207514,0.0011951000896325067
44,64.503090450074,0.5772612518499173,11487,11111,0.005580055800558006
45,65.69372496662216,0.5025367156208278,3745,3639,0.004396812311074471
46,31.358374051979975,0.5114361941305196,66718,66022,0.0017266971615522099
47,67.43961666551373,0.4679887539405678,404764,341053,0.02905999947222279
48,76.01981232359518,0.3736941461090136,109124,79404,0.05645811294141353
49,49.238853021176126,0.5206204513710211,231251,222926,0.006307025649767187
50,48.42815793699597,0.5124413963817529,255317,251970,0.0025201412866611103
51,51.49347952029448,0.6965228049294748,253739,249496,0.002853753166383429
52,32.25397674311996,0.46007212383295387,261772,260842,0.0006325668412295566
53,11.75909066202848,0.43689531470812043,367960,366937,0.0004741958428831107
54,5.560109369946785,0.3678593478963926,34013,33927,0.0004716007899313231
55,68.57331017686069,0.5189157589567998,586733,393652,0.07579029193297633
56,68.41536762795532,0.5025331254871395,15396,8130,0.14526445264452645
57,50.522353477812395,0.25199172726942876,192923,186329,0.006193346177996984
58,62.92044879365615,0.42019571452674204,11854,10615,0.019218087611869994
59,48.51685297060696,0.00412026904821785,186881,179589,0.006832267009672085
60,73.8163991950049,0.0008772382475875949,19379,16629,0.030488904925130796
61,55.730694910388735,0.5179758094577052,233397,215034,0.01443492656975176
62,67.62732058742034,0.48392906622333054,7218,5229,0.0642570281124498
63,53.518956092951655,0.4973389193603394,319607,308432,0.006354723245318255
64,43.65257756906656,0.30679350669736294,305792,292863,0.007433509866388038
65,58.16429840142096,0.6218916518650088,4504,4194,0.01430615164520744
66,72.59279038718292,0.5403282808450482,12733,10416,0.045602918586789554
67,61.95800600739371,0.2992144177449168,17312,14409,0.04122423485321674
68,59.903906062784564,0.34914929307452675,16692,13410,0.049962714392244596
69,40.504388633005995,0.3720344138350569,23014,22612,0.004068636122412878
70,58.80523492115103,0.30373110063404324,24604,14687,0.12187648941240553
71,50.07053794086213,0.43810802663670495,36491,34602,0.010982024160453152
72,48.638400956831106,0.4977244853485237,394636,367301,0.01237132488068369
73,61.25309719071715,0.3911184784505322,11462,10030,0.025324027916251247
74,71.52433082615183,0.49645238892779925,65678,37284,0.13839716768587063
75,61.13179460580913,0.49942946058091287,19280,15883,0.04275011018069634
76,67.01033888569788,0.5039451011215574,33079,24229,0.06438565355565644
77,27.161164361341317,0.5125991683133276,339070,328857,0.005987404859863102
78,12.50555612192884,0.37934549903150167,9809,9548,0.006284038542103058
79,30.196966005411436,0.5255632637882616,77983,72035,0.018352189907683766
80,7.801131971286582,0.407923799006074,36220,35917,0.0019489378288832587
81,47.762090551500876,0.9975807293781837,344732,340502,0.002255493359804054
82,57.0557957708938,0.997571521648996,16883,15764,0.013638670388226339
83,40.82978431103174,1.0,14558,14495,0.0009658502932045533
84,50.29713327477442,0.9994809550427214,75138,74552,0.001757162785706621
85,55.57524011803846,0.5224423434768716,532030,516878,0.005386183973781047
86,73.03981221521609,0.5544713950384315,21727,18168,0.04260237780713342
87,65.88707515180191,0.5459348631811372,12681,11560,0.01963667820069204
88,64.76761557731724,0.5813709861079481,21955,20630,0.01371788657295201
89,55.32269148500432,0.5254630683111091,43946,42632,0.007318446237568024
90,67.10690309398716,0.6548453006421483,13704,11882,0.03383268809964653
91,63.35535599743425,0.6568313021167415,1559,1411,0.028348688873139617
92,30.58368088974441,0.49204006701600544,280530,278170,0.0015278426861271884
93,47.11083220698977,0.5470167986097703,5179,5109,0.004110393423370522
94,37.25945945945946,0.5469287469287469,2035,1951,0.009226037929267043
95,19.389236790606653,0.513894324853229,5110,5034,0.0037743345252284465
96,32.41273805807056,0.5079612862940993,9609,9211,0.00955379437628922
97,35.702292184479425,0.35294117647058826,7242,7226,
98,28.17104568956421,0.4084625936477788,9477,9319,0.004506921343491791
99,10.187607030193782,0.42541685443893645,22190,22116,0.0005878097305118467
100,20.359101123595504,0.46347066167290885,20025,19855,0.0016620498614958448
101,6.626795162509448,0.3526077097505669,5292,5281,
102,66.80022318439495,0.5970599175705634,336045,324210,0.006662348477838438
103,79.11470588235294,0.7235294117647059,680,607,0.02471169686985173
104,71.9531134699438,0.5746721916330817,17617,15648,0.02223926380368098
105,70.89672649215909,0.44749865839842584,50313,46650,0.014062165058949624
106,56.786805219913,0.722329627839536,20690,20321,0.003247871659859259
107,73.7448028983007,0.49328617844101325,69558,59917,0.026820434934993406
108,69.9319734390675,0.5904552620264654,20933,19852,0.011031634092282893
109,74.61699654678682,0.5557651815042534,59365,41371,0.08225568635034203
110,72.50228389959543,0.6342062905120286,45974,42861,0.015538601525862672
111,73.08310401761145,0.6623555310952118,3634,3364,0.02051129607609988
112,70.86574577623088,0.45726681652285306,82746,71938,0.028204843059301064
113,72.4419146416804,0.6323877677100495,77696,70138,0.02539279705723003
114,75.14766878367396,0.5252586059858131,99669,86347,0.031327087217853544
115,75.22643614054657,0.6270217512548801,7172,5881,0.04948138071756504
116,74.7699185376515,0.6952116034174448,5033,4464,0.03046594982078853
117,74.14807767069752,0.5235610664375013,48873,43780,0.0267702147099132
118,69.915370244846,0.38824871459983135,60487,56294,0.01671581340817849
119,62.72386237513874,0.5972253052164261,9010,8359,0.017944730230888863
120,71.02800071339396,0.49563046192259674,33642,29121,0.037120977988393256
121,75.54326176927056,0.45764355923435074,15464,12308,0.051998700032499186
122,78.59031847133758,0.5998726114649682,31400,25513,0.05883275193038843
123,81.14766228612777,0.5704815480497654,42841,32216,0.07170350136578098
124,78.37719718985413,0.47151764805462293,35443,28334,0.04944589539069669
125,76.13118478302722,0.4266682068460976,25971,21848,0.04476382277554009
126,69.84379991056028,0.3623586532932984,15653,13945,0.02889924704195052
127,75.52934407364788,0.3879746835443038,17380,13409,0.06488179580878514
128,80.84310134310134,0.47985347985347987,21294,14769,0.09540253233123434
129,78.32898980776675,0.40700124715090524,23253,13273,0.17057183756498154
130,82.75535019455253,0.441147859922179,2056,1270,0.1795275590551181
131,77.23831195697146,0.3462970624741415,4834,2389,0.24277940560904143
