source,target,value
0,0,0.8989839166791249
0,1,0.00375147484231886
0,2,0.00017428915715336175
0,3,0.000273868034112087
0,4,0.0001599217955774701
0,5,0.0001634744522580542
0,6,0.00034108116381166727
0,7,0.0001894663154726218
0,8,0.00025613087318475896
0,9,0.0004020771443202254
0,10,0.0002610157761205621
0,11,0.0003727416042298139
0,12,0.00026062393898667414
0,13,0.00031919052926512696
0,14,0.00033940932537374535
0,15,0.00037916773322557636
0,16,0.00037783548697035735
0,17,0.0003127644002693645
0,18,0.0002813913070827357
0,19,0.0002965684654019958
0,20,0.0005083956199818235
0,21,0.0003514256641463093
0,22,0.00044235800168390704
0,23,0.0004563596486015032
0,24,0.0005723434402323375
0,25,0.0004279122726812378
0,26,0.0008022473479221961
0,27,0.0006664627197922239
0,28,0.0007048366364376509
0,29,0.0004844151873878807
0,30,0.00048757600693457686
0,31,0.0006354553412638906
0,32,0.0008723600724125473
0,33,0.0007894995798330413
0,34,0.0009522426027745047
0,35,0.001343034837638757
0,36,0.0010258296165186623
0,37,0.0012478967815307618
0,38,0.0013938430526662284
0,39,0.0007430015732783375
0,40,0.00029001172402827067
0,41,0.0012729743580995908
0,42,0.001571972213731692
0,43,0.0012476355567748367
0,44,0.0017206352223287816
0,45,0.00025670556764779463
0,46,0.0013671197601350699
0,47,0.0015174284846944889
0,48,0.0003920461136926938
0,49,0.0020829800812727684
0,50,0.00234336891797911
0,51,0.002378790994882581
0,52,0.001958610974976732
0,53,0.0021976577491239764
0,54,0.0002099463363371655
0,55,0.002573481805473709
0,56,0.00028742559894461017
0,57,0.002435346154540409
0,58,0.0003289080901855482
0,59,0.002594170806142993
0,60,0.0001625079206611306
0,61,0.0031022529564177057
0,62,0.00013458299425271578
0,63,0.003274739662755183
0,64,0.002172214457896852
0,65,0.00014364749328332378
0,66,0.00024231208359631046
0,67,0.00020184836890348114
0,68,0.00017946140732068273
0,69,0.00022282471680428291
0,70,0.00023977820346383503
0,71,0.0003960428524583509
0,72,0.002768303228442799
0,73,0.00014113973562644087
0,74,0.00017016180600974197
0,75,0.0002633145539727048
0,76,0.0005291107431266999
0,77,0.0028144616428148004
0,78,9.354458509685078e-05
0,79,0.00043399880949429733
0,80,0.0003214893071172696
0,81,0.004016565724631857
0,82,0.00012632829196547622
0,83,0.00022305981908461568
0,84,0.0006077393946602159
0,85,0.004560958115980187
0,86,0.00013032503073113336
0,87,8.949560138000859e-05
0,88,0.00025216025689469434
0,89,0.0005938944825961749
0,90,0.0004291400290340867
0,91,7.78449772657401e-05
0,92,0.004751599942854472
0,93,6.666455771213716e-05
0,94,7.175844045268055e-05
0,95,4.647188407911129e-05
0,96,0.00010916582550118385
0,97,0.00013886708024989073
0,98,0.00011606215905761184
0,99,0.001016791239963647
0,100,0.00023834146730624588
0,101,3.9889020229793674e-05
0,102,0.0027571750538403815
0,103,0.0001556115871047026
0,104,0.00025542556634376067
0,105,0.00039400529936213356
0,106,0.0003231872680307841
0,107,0.0003905832550595121
0,108,0.00045474005511476635
0,109,0.0004757164030155681
0,110,0.0004215906335878455
0,111,8.96000912823787e-05
0,112,0.001023060634105854
0,113,0.000903628675696806
0,114,0.0008255747186263256
0,115,0.00011423358576613472
0,116,0.0001667397617071205
0,117,0.00025542556634376067
0,118,0.0005738846662922967
0,119,0.00015772750762769756
0,120,0.00045411311570054563
0,121,0.00018173406269723284
0,122,0.00033982728498322583
0,123,0.000291605195039415
0,124,0.00028444763672706176
0,125,0.00019662387378497508
0,126,0.0001884214164489206
0,127,0.00017439364705573187
0,128,0.00013272829848564612
0,129,0.0003147497084143968
0,130,6.352986064103353e-05
0,131,9.793316099639586e-05
1,1,0.9235548734962103
1,2,0.00011621187494328701
1,3,0.0002658545632264237
1,4,0.0001846654451153602
1,5,0.00013531519685177254
1,6,0.00027859011116541406
1,7,0.0001496426882831367
1,8,0.00022128014543995746
1,9,0.0002833659416425355
1,10,0.0003247564724442541
1,11,0.00037569866420021555
1,12,0.00019262516257722917
1,13,0.00021968820194758366
1,14,0.0002706303937035451
1,15,0.000294509546089152
