cluster,mean_age,female_ratio,size,size_alive,mortality_rate
85,73.71781340236981,0.4848152942347904,20086,14656,0.059566048034934496
86,76.23617650279208,0.5578305777583124,27399,21326,0.05247116196192441
87,79.57623235951243,0.5305862722362058,35359,25863,0.058345899547616285
88,74.7730314995485,0.36309471112134145,112954,87091,0.0456189502933713
89,62.58651673302486,0.602711718497794,18586,18249,0.003616636528028933
90,74.92238757552411,0.5086979441222984,24661,21332,0.02929870616913557
91,54.053520655628034,0.5278235729816262,41853,41287,0.0031002494731997964
92,67.02459041758397,0.5379035038858385,452412,333106,0.0527910034643627
93,43.41838555506793,0.47462057457572354,414706,381897,0.012346260902808872
94,61.129027453706,0.4195502159559152,20143,14507,0.06314193148135383
95,10.848199396042729,0.41519808897101906,22187,22063,0.00099714454063364
96,73.47772800573374,0.6167353520874396,27905,22987,0.037281941967198855
97,48.9313637617209,0.44287782680639826,29008,20468,0.07333398475669338
98,15.293359307855383,0.410617085887813,34906,34183,0.004154111692946786
99,65.92958788400495,0.5542549900468069,297392,288049,0.005717777183743044
100,60.38061516838748,0.502441573418383,55497,44334,0.046871475616908014
101,64.23946989932196,0.5352886788576124,19468,16198,0.03469564143721447
102,75.97298807137459,0.44875291643389964,30431,17334,0.11947617399330795
103,73.05575067061199,0.5321478941400957,36161,21083,0.1279229711141678
104,65.16561815024623,0.4562327421788266,35129,19902,0.14139282484172444
105,70.85953896147858,0.5173481822490015,59084,35312,0.12171499773448119
106,71.9006755209526,0.4757413556217083,69872,38860,0.13309315491507978
107,70.7840625261422,0.4264732244224817,83677,41344,0.17954237616099072
108,52.26651403652221,0.4922431180158081,91725,77247,0.03325695496265227
109,77.74433862433862,0.4725925925925926,89775,55976,0.10615263684436187
110,81.45857865758569,0.40071926418637216,31421,18773,0.11441964523517818
111,76.98180781590132,0.7346843578314501,19294,17868,0.014942914707857623
112,66.25824316701707,0.6248397518075997,19501,18700,0.008128342245989306
113,17.328667863999506,0.4055861769988233,16147,15629,0.006910230980868897
114,79.94041329739443,0.434681042228212,27825,16933,0.11728577334199491
115,64.57729038902673,0.5095267075511446,42722,26270,0.13517320137038447
116,71.8274350782338,0.598672892602605,24414,21401,0.02742862483061539
117,71.47671097120205,0.6338754809373907,34308,33079,0.00795066356298558
118,63.04777464073851,0.9992386511436094,31523,31189,0.0023405687902786237
119,74.14665455178147,0.5839310224834225,51727,36898,0.07759228142446745
120,71.48364329995232,0.45848036878079795,62910,56935,0.019074383068411346
121,69.23538753937879,0.48483428363144054,76818,68198,0.0243262265755594
122,74.31801414702365,0.4845760959889742,98678,82781,0.03371546610937293
123,75.41427851926467,0.5196759842189205,119130,102136,0.03188885407691705
124,80.37824753913183,0.5069227045344522,30985,20472,0.11215318483782728
125,72.26222736802579,0.5956963002367766,95871,84568,0.03133572982688487
126,78.83126420988927,0.4507581333725894,61137,45078,0.07050002218377036
127,83.43604489379464,0.7819775531026807,21562,17690,0.05732052006783493
128,71.7415694826333,0.508549034480579,31641,26550,0.048436911487758944
129,75.52656033997235,0.5273027494751933,78124,67236,0.039205187697067045
130,69.90065668505385,0.3829261885999475,76140,70239,0.01913466877375817
131,76.95738365906928,0.4193500214668384,53571,41330,0.07331236390031454
