source,target,value
0,0,0.9395542943701831
0,1,0.0016113917622877323
0,2,0.00010075113713928091
0,3,9.051941544016223e-05
0,4,7.029958446333245e-05
0,5,9.379078224192127e-05
0,6,7.235288915805354e-05
0,7,8.178417004397586e-05
0,8,7.760795710556008e-05
0,9,8.693483266802201e-05
0,10,9.873263421904661e-05
0,11,0.00011724717824602329
0,12,0.00014982163916566643
0,13,9.250311658590973e-05
0,14,0.00012424233491786972
0,15,8.463791555189333e-05
0,16,0.00015006525158707402
0,17,0.0001207969592436767
0,18,0.0001562947692202109
0,19,8.554276168855008e-05
0,20,0.00012187581425276745
0,21,0.00016395115960730653
0,22,0.00025043356920700016
0,23,0.00021208201372254848
0,24,0.00014338331088560875
0,25,0.00018455381010349108
0,26,0.0002788318171882275
0,27,0.00021270844566331087
0,28,0.00024632695981755795
0,29,0.00024751022015010913
0,30,0.0002830080301266433
0,31,0.0003127635473128558
0,32,0.0002708622108307507
0,33,0.0004566688848157665
0,34,0.0003781560815735497
0,35,0.0006461297451218962
0,36,0.0003406397686767812
0,37,0.00035118470634628104
0,38,0.0004883733013732397
0,39,0.0004261129268163577
0,40,0.0006569878987617772
0,41,0.0005721411725629631
0,42,0.0006394478044204309
0,43,0.0005841825865353953
0,44,0.0008237232003280277
0,45,0.000995817975165245
0,46,0.0008228183541913709
0,47,0.0008268553600318394
0,48,0.0008884893026479591
0,49,0.0011487717740347233
0,50,6.438328280057675e-05
0,51,0.0011412893925200616
0,52,0.0011252109727071609
0,53,0.0012401612338370554
0,54,5.9163016627557013e-05
0,55,0.0011097241830605356
0,56,0.0012796264461050846
0,57,0.0011903250927719604
0,58,0.001325634391976632
0,59,0.0014105507217244196
0,60,0.00021434412906419037
0,61,0.001364438370529412
0,62,0.0015825758930126633
0,63,0.0013446013590719369
0,64,6.908152235629452e-05
0,65,0.0016699631487490138
0,66,5.0601780103804646e-05
0,67,0.0018805486861686298
0,68,0.0015272410715786542
0,69,0.00029390098554101115
0,70,0.001614871939736412
0,71,4.266697552081465e-05
0,72,8.164496294602868e-05
0,73,5.34903273862089e-05
0,74,9.476523192755162e-05
0,75,0.0015343754353484478
0,76,7.816478549734885e-05
0,77,0.00028631419870288913
0,78,0.0017345552421965111
0,79,4.6495170714362454e-05
0,80,7.53110399894314e-05
0,81,8.12969452011607e-05
0,82,9.69577437202199e-05
0,83,0.0026454916893884554
0,84,0.002051669011320217
0,85,7.823438904632244e-05
0,86,9.751457211200868e-05
