source,target,value
0,0,0.9395542943701831
0,1,0.0033003566799065377
0,2,3.922159984662162e-05
0,3,0.0014036947721505204
0,4,8.850091251992793e-05
0,5,0.00020741857594131752
0,6,0.00043665786448585754
0,7,8.018328841758315e-05
0,8,8.700443621699561e-05
0,9,0.0012422841420807501
0,10,0.00011195730852402994
0,11,0.0008291522771479681
0,12,0.0010117223861057117
0,13,0.00018911284256126166
0,14,0.0006119544025758603
0,15,0.0001328035714416221
0,16,0.0005586032822875986
0,17,0.00025433136794952155
0,18,8.815289477505995e-05
0,19,8.93361551076111e-05
0,20,7.973086534925477e-05
0,21,0.0002749688202201929
0,22,5.7074910158349115e-05
0,23,0.00040651952778029027
0,24,0.00022903047789761923
0,25,0.00013986833166244214
0,26,0.0009885444042975042
0,27,0.0005133609754547608
0,28,0.0011648849956221107
0,29,0.00036388735403396243
0,30,7.555465241083899e-05
0,31,6.065949293048934e-05
0,32,0.0003403265527064
0,33,0.0007736434468415249
0,34,0.0002706882019583167
0,35,0.0008697311461995749
0,36,0.00036051158190874297
0,37,0.0025502044308436016
0,38,0.0013103912147514143
0,39,0.00042879266345184115
0,40,2.9198688794423727e-05
0,41,0.0006048548405805535
0,42,0.0011931092347309041
0,43,0.0011139351977734382
0,44,5.864099001025504e-05
0,45,1.2772251236654955e-05
0,46,0.0003671239190612347
0,47,0.0023238884913559525
0,48,0.00041476754833366143
0,49,0.0012432237899918936
0,50,0.001352327353008006
0,51,0.0013199617027352837
0,52,0.0013768974057956857
0,53,0.0018847597008815325
0,54,9.998549810057135e-05
0,55,0.0027780864501831567
0,56,4.593834232257368e-05
0,57,0.0008989646367684854
0,58,3.835155548445166e-05
0,59,0.0009224558345470742
0,60,5.4395173522865656e-05
0,61,0.001056164252125353
0,62,1.4512339960994867e-05
0,63,0.00163989441559242
0,64,0.0016199878005859715
0,65,8.665641847212763e-06
0,66,2.554450247330991e-05
0,67,5.5682839178877185e-05
0,68,4.4859487313482934e-05
0,69,7.966126180028118e-05
0,70,6.274759939969724e-05
0,71,0.00010287404538297561
0,72,0.0019451755813906142
0,73,2.474406166011355e-05
0,74,0.00016562164478267283
0,75,4.506829796040372e-05
0,76,7.061280043371363e-05
0,77,0.0015968794223267374
0,78,2.317798180820763e-05
0,79,0.0003240393222465784
0,80,6.674980346567903e-05
0,81,0.0015767291948988811
0,82,3.741190757330811e-05
0,83,3.695948450497973e-05
0,84,0.00029014239389643697
0,85,0.0026636930174450506
0,86,3.483657626128504e-05
0,87,2.0811461143105348e-05
0,88,3.772512354368929e-05
0,89,0.00012518198282901328
0,90,3.344450528181311e-05
0,91,2.7493401844570613e-06
0,92,0.0012885008985992182
0,93,1.1066964286801842e-05
0,94,4.1066093894421926e-06
0,95,5.011455526098947e-06
0,96,2.1159478887973332e-05
0,97,3.347930705629991e-05
0,98,3.062556154838245e-05
0,99,7.197006963869877e-05
0,100,4.6425567165388856e-05
0,101,4.3850235853365785e-06
0,102,0.0019482381375454524
0,103,1.740088724339912e-06
0,104,6.594936265248267e-05
0,105,0.00020658333335363437
0,106,9.330355739910609e-05
0,107,0.00028707983774159873
0,108,5.366433625864289e-05
0,109,0.00017334763871874206
0,110,0.00012782691769000994
0,111,4.419825359823377e-06
0,112,0.00032602302339232594
0,113,0.00034394593725302705
0,114,0.0003684115847172462
0,115,1.4721150607915657e-05
0,116,8.282822327857982e-06
0,117,0.00016760534592842033
0,118,0.0001784634995683014
0,119,2.8398247981227365e-05
0,120,0.00010276964005951521
0,121,4.4024244725799776e-05
0,122,7.210927673664597e-05
0,123,8.394188006215736e-05
0,124,7.92784422809264e-05
0,125,4.492909086245653e-05
0,126,3.400133367360188e-05
0,127,2.5996925541638288e-05
0,128,1.9941416780935394e-05
0,129,3.0381949126974866e-05
0,130,2.1925117926682893e-06
0,131,4.593834232257368e-06
1,1,0.9206504956285343
1,2,0.0001150063742894686
1,3,0.0010742084747463131
1,4,0.00012479415082474252
1,5,0.00015905136869820126
1,6,0.0008270671172306465
1,7,6.606749161309899e-05
1,8,8.074915641600986e-05
1,9,0.0013262437205296166
1,10,0.00021288413964220783
1,11,0.0011231473574226827
1,12,0.0006068421451869832
1,13,0.00019575553070547846
1,14,0.0011378290222255935
1,15,0.00019330858657165998
1,16,0.0003572538435374982
1,17,0.000636205474792805
1,18,9.053693295128379e-05
1,19,8.564304468364683e-05
1,20,0.000259376078184759
1,21,0.00021533108377602632
1,22,6.606749161309899e-05
1,23,0.0005309868770386104
1,24,0.0004208743910167787
1,25,0.00012479415082474252
1,26,0.0018743592065049563
1,27,0.0009371796032524781
1,28,0.0017471181115463954
1,29,0.00028139857538912527
1,30,7.830221228219139e-05
1,31,7.096137988073594e-05
1,32,0.0003572538435374982
1,33,0.0005016235474327885
1,34,0.00024958830164948504
1,35,0.0013605009384030752
1,36,0.0005456685418415212
1,37,0.004810692167087133
1,38,0.0032837990275844013
1,39,0.0004600254971578744
1,40,5.383277094400658e-05
1,41,0.0011329351339579566
1,42,0.0012870926143885208
1,43,0.0009298387708510227
1,44,0.0001639452569658382
1,45,2.691638547200329e-05
1,46,0.00036214773180513515
1,47,0.003910216725841932
1,48,0.0007145076870749964
1,49,0.0021337352846897153
1,50,0.0015807259104467387
1,51,0.00135316010600162
1,52,0.000890687664709927
1,53,0.0014583787037558144
1,54,5.872665921164354e-05
1,55,0.006584726664105532
1,56,9.787776535273923e-05
1,57,0.0009689898769921184
1,58,6.36205474792805e-05
1,59,0.0008662182233717422
1,60,0.00010521859775419467
1,61,0.0016516872903274745
1,62,5.627971507782506e-05
1,63,0.001969790027723877
1,64,0.0022976805416555536
1,65,2.4469441338184808e-05
1,66,7.830221228219139e-05
1,67,0.0001639452569658382
1,68,0.00013702887149383492
1,69,0.00019330858657165998
1,70,0.0007756812904204584
1,71,0.00024469441338184807
1,72,0.003271564306915309
1,73,6.117360334546202e-05
1,74,0.0005138582681018809
1,75,0.00012234720669092403
1,76,0.00018841469830402303
1,77,0.001705520061271481
1,78,2.4469441338184808e-05
1,79,0.00042821522341823413
1,80,9.298387708510227e-05
1,81,0.0014485909272205406
1,82,5.383277094400658e-05
1,83,1.4681664802910884e-05
1,84,0.0003058680167273101
1,85,0.0026598282734606885
1,86,6.851443574691746e-05
1,87,2.936332960582177e-05
1,88,6.36205474792805e-05
1,89,0.00011011248602183163
1,90,6.117360334546202e-05
1,92,0.0008221732289630095
1,93,1.4681664802910884e-05
1,95,9.787776535273923e-06
1,96,3.425721787345873e-05
1,97,9.787776535273923e-05
1,98,3.425721787345873e-05
1,99,4.8938882676369616e-05
1,100,3.6704162007277215e-05
1,102,0.0030048473963290943
1,104,0.00010521859775419467
1,105,0.00026916385472003287
1,106,0.00010521859775419467
1,107,0.00041842744688296024
1,108,0.0001150063742894686
1,109,0.0003572538435374982
1,110,0.00021533108377602632
1,111,9.787776535273923e-06
1,112,0.0005921604803840724
1,113,0.0007120607429411779
1,114,0.0006043952010531648
1,115,3.425721787345873e-05
1,116,2.936332960582177e-05
1,117,0.00021043719550838935
1,118,0.00020554330724075238
1,119,3.9151106141095694e-05
1,120,0.00018352081003638606
1,121,7.096137988073594e-05
1,122,0.0001296880390923795
1,123,0.0001786269217687491
1,124,0.0001517105362967458
1,125,8.564304468364683e-05
1,126,5.872665921164354e-05
1,127,4.404499440873265e-05
1,128,2.2022497204366326e-05
1,129,8.80899888174653e-05
1,130,1.2234720669092404e-05
1,131,3.9151106141095694e-05
2,2,0.9057450628366248
