cluster,mean_age,female_ratio,size
0,33.2569282255746,0.5494713183928638,39527004
1,44.53633086700816,0.5311944060492723,922425
2,44.66998269896194,0.5678344867358708,13872
3,39.327953518398964,0.6752743705616526,6196
4,33.60618674238758,0.3660632656792832,92973
5,21.554535438854206,0.6082904884318766,21784
6,32.789241114313164,0.4021133525456292,5205
7,26.886758398097424,0.5728542914171657,47094
8,38.720007516576736,0.9724839601621433,37251
9,13.863016738523967,0.28677402992645196,31544
10,37.212513825248855,0.5461565808184548,50632
11,37.73524404964561,0.5248692314834875,32309
12,19.205217607869997,0.4614594359006289,32122
13,37.86927519362493,0.6499977615615347,22337
14,44.20013239956796,0.3657015435002265,28701
15,30.130773492721747,0.728244992528668,59561
16,71.1047610635103,0.5678826958749227,22642
17,26.779737757171834,0.5615401332946972,27608
18,32.182921584555835,0.440531370956181,20927
19,34.45556519824359,0.5319870989469321,77203
20,22.30591913644091,0.5384167290797341,84117
21,35.398344370860926,0.2576158940397351,30200
22,35.17060154006455,0.7612391674502529,39349
23,42.18512207385888,0.43093655139020803,107394
24,59.64262512786462,0.5117994364983939,111446
25,44.17625062323417,0.4903467951914021,72204
26,59.319522127367286,0.40270827200471004,40764
27,27.802450664258995,0.542138527021798,38765
28,40.467414727250336,0.4425717276197513,64968
29,45.39262593656529,0.5830603843989695,168835
30,47.79877530770224,0.7874866622717295,147139
31,29.24265868238398,0.5536321855926969,191042
32,37.38309343034904,0.7942766002319941,75864
33,51.2309010604771,0.4312185134917531,86942
34,27.41874741943195,0.7569159223765131,92034
35,41.837954556274184,0.5026353552458871,147039
36,25.19787111922776,0.514507348465084,287475
37,34.52769620807266,0.9999635216225582,109654
38,42.11360336454213,0.6237778143350666,139811
39,43.976820795400094,0.2932838204759623,200352
40,36.30072963417997,0.46786851540756713,79766
41,33.02982076815841,0.5950789011824617,260389
42,13.860512176400809,0.45741554826754743,128979
43,24.00461606164736,0.4577017069128566,106801
44,40.90134368039089,0.4836359779235399,292257
45,61.72379450157228,0.4773359217803662,98901
46,26.25580893968213,2.014894097166253e-06,496304
47,40.83339800925599,0.21410151762211801,523121
48,45.83858758948584,0.549181467144457,625937
